Manufacturer,Medication,GoodRx Price,Cost,Link,,,,,
Pfizer,ELIQUIS® (apixaban) 2.5 mg and 5 mg tablets,$637.37,$10.00,https://www.eliquis.com/eliquis/hcp/resources#copay-freetrial,,,,,
Pfizer,ESTRING® (estradiol vaginal system),,$25.00,https://www.pfizermenopause.com/savings-card/#estring,,,,,
Pfizer,"EUCRISA™ (crisaborole) ointment, 2%",$805.72,$0.00,https://eucrisa.pfizerpro.com/eucrisa-savings-program/access-savings-card,,,,,
Pfizer,IBRANCE® (palbociclib) capsules,$0.00,$0.00,https://www.pfizeroncologytogether.com/patient/financial-assistance,,,,,
Pfizer,INFLECTRA® (infliximab-dyyb) for injection,$0.00,$0.00,https://www.pfizerencompass.com/patient/inflectra/right-patient-support,,,,,
Pfizer,INLYTA® (axitinib) tablets,$0.00,$0.00,https://www.pfizeroncologytogether.com/patient/signup,,,,,
Pfizer,LITFULO™ (ritlecitinib) 50mg capsules,$0.00,$0.00,https://www.pfizerdermatologypatientaccess.com/hcp/financial-support,,,,,
Pfizer,MEKTOVI® (binimetinib) 15mg tablets,Limited Distribution Drug,$0.00,https://www.pfizeroncologytogether.com/patient/financial-assistance,,,,,
Pfizer,"NIVESTYM® (filgrastim-aafi) injection, for subcutaneous or intravenous use","$1,130.00",,https://pfizercopay.com/,,,,,
Pfizer,NURTEC® ODT (rimegepant) orally disintegrating tablets 75mg,"$1,066.00",$0.00,https://www.nurtec.com/,,,,,
Pfizer,NYVEPRIA® (pegfilgrastim-apgf),"$4,027.00",,https://pfizercopay.com/,,,,,
Pfizer,OCTAGAM® 5% [Immune Globulin Intravenous (Human)] liquid,Physician Administered,$0.00,https://octagam-5.pfizerpro.com/support/octagam-co-payprogram,,,,,
Pfizer,OCTAGAM® 10% [Immune Globulin Intravenous (Human)] liquid,,$0.00,https://octagam-10.pfizerpro.com/support/octagam-co-payprogram,,,,,
Pfizer,PANZYGA® [Immune Globulin Intravenous (Human) - ifas] 10% Liquid Preparation,Physician Administered,$0.00,https://panzyga.pfizerpro.com/support/co-pay-program-for-patients,,,,,
Pfizer,PAXLOVID™ nirmatrelvir tablets; ritonavir tablets,"$1,660.00",$0.00,https://paxlovid.pfizerpro.com/access-resources/access,,,,,
Pfizer,"PREMARIN® (conjugated estrogens tablets, USP)",$99.00,$25.00,https://www.premarin.com/,,,,,
Pfizer,"PREMARIN®
(conjugated estrogens) Vaginal Cream",$249.00,$25.00,https://www.premarinvaginalcream.com/,,,,,
Pfizer,PRISTIQ® (desvenlafaxine) Extended-Release Tablets,$200.10,,https://pristiq.pfizerpro.com/savings-support/pristiq-savings-card,,,,,
Pfizer,RUXIENCE® (rituximab-pvvr) injection,Physician Administered,?,https://ruxience.pfizerpro.com/,,,,,
Pfizer,SUTENT® (sunitinib malate) capsules,"$3,983.00",$0.00,https://www.pfizeroncologytogether.com/hcp/patient-financial-assistance#co-pay-assistance,,,,,
Pfizer,TALZENNA® (talazoparib) capsules,Limited Distribution Drug,$0.00,https://www.pfizeroncologytogether.com/hcp/patient-copay-registration,,,,,
Pfizer,VELSIPITY™ (etrasimod) 2 mg tablets,"$6,509.00",$0.00,https://velsipity.pfizerpro.com/access-support/velsipityforme-patient-support,,,,,
Pfizer,VIZIMPRO® (dacomitinib) tablets,Limited Distribution Drug,$0.00,https://www.pfizeroncologytogether.com/hcp/patient-financial-assistance#co-pay-assistance,,,,,
Pfizer,VYNDAMAX® (tafamidis) capsules,Limited Distribution Drug,$0.00,https://www.vyndalink.com/copay-eligibility,,,,,
Pfizer,XALKORI® (crizotinib) Capsules,Limited Distribution Drug,$0.00,https://www.pfizeroncologytogether.com/hcp/patient-financial-assistance#co-pay-assistance,,,,,
Pfizer,XELJANZ® (tofacitinib) tablets/XELJANZ® XR (tofacitinib) extended release tablet,"$3,118.00",$0.00,https://xeljanz.pfizerpro.com/r/coverage-support/patient-affordability,,,,,
Pfizer,"XYNTHA® Solofuse Antihemophilic Factor
(Recombinant)","$3,916.00",,https://www.pfizerhemophiliasupport.com/,,,,,
Pfizer,ZAVZPRET™ (zavegepant) nasal spray 10mg,"$1,140.00",$0.00,https://zavzpret.pfizerpro.com/savings-and-support/savings-and-support-options,,,,,
Pfizer,ZIRABEV® (bevacizumab-bvzr) injection,Physician Administered,$0.00,https://pfizercopay.com/,,,,,
Jhonson and Jhonson,DARZALEX,,,https://www.darzalex.com/savings-support/#prescription-support,,,,,
Jhonson and Jhonson,STELARA,"$29,000.00",,https://www.jnjwithme.com/patient/stelara/cost-support/,,,,,
Jhonson and Jhonson,TREMFYA,"$14,500.00",,https://www.tremfya.com/,,,,,
MERCK,KEYTRUDA,Limited Distribution Drug,$25.00,https://www.merckaccessprogram-keytruda.com/hcc/affordability.html,,,,,
MERCK,GARDASIL.9,$335.00,,https://www.merckhelps.com/GARDASIL%209,,,,,
MERCK,JANUVIA,$996.23,$5.00,https://www.januvia.com/,,,,,
ASTRAZENECA,FARXIGA,$288.00,$0.00,https://www.farxiga.com/savings-support/register,,,,,
ASTRAZENECA,TAGRISSO,Limited Distribution Drug,$0.00,https://www.tagrisso.com/home/financial-help.html,,,,,
ASTRAZENECA,IMFINZI,Physician Administered,$0.00,https://www.imfinzihcp.com/imfinzi-durvalumab-resources.html/?source=imz_n_h_5681&umedium=cpc&uadpub=google&ucampaign=cnhcpbbrmltpimfazcorecmbranded&ucreative=imfinzisupportresources&uplace=sitelink&outcome=hcp&cmpid=1&gclsrc=aw.ds&gad_source=1&gad_campaignid=20208637321&gbraid=0AAAAApJiB3Rg8lf3Pa2On79ILzChZhgGV&gclid=Cj0KCQjwhafEBhCcARIsAEGZEKKc9T18XV9tWiP9VWZR_D6DcCn0OHj766vXRigDVwfa4XP1PDgH7CMaAnywEALw_wcB,,,,,
ROCHE,OCERVUS,Physician Administered,,https://www.ocrevus.com/patient/cost.html?c=ocr-18deca9ed8a&gclsrc=aw.ds&&user_id=%25s&gad_source=1&gad_campaignid=22666547998&gbraid=0AAAAAC7OxmFbB0h0YfIEznTE3r4oVtxuv&gclid=Cj0KCQjwhafEBhCcARIsAEGZEKLZuWhMj5kCw0J4v2PPyUndne5RIRhUlY6B4S-FXKXe57M4CfhIFOoaAvqHEALw_wcB,,,,,
ROCHE,HEMLIBRA,Limited Distribution Drug,,https://www.hemlibra.com/financial-support/assistance-options.html,,,,,
ROCHE,VABYSMO,Physician Administered,,https://www.vabysmo.com/wamd/resources-faq/sign-up.html?c=vab-17e986b17ad&gclsrc=aw.ds&gad_source=1&gad_campaignid=22369891572&gbraid=0AAAAAoTBKa5z-h6a0sD-VpTZ1Fp_WPDJG&gclid=Cj0KCQjwhafEBhCcARIsAEGZEKLg-SG1zS_0hGfZqI_bfWSFFtQ06PV49II8FvsYO2UFY8dWyAOG6HkaAnAtEALw_wcB,,,,,
ABBVIE,SKYRIZI,"$22,500.00",,https://www.skyrizi.com/skyrizi-complete/insurance-101,,,,,
ABBVIE,RINVOQ,"$6,922.00",$0.00,https://www.rinvoq.com/cost#sp,,,,,
ABBVIE,VRAYLAR,$0.00,$0.00,https://www.vraylar.com/savings-sign-up,,,,,
NOVARTIS,ENTRESTO,$731.35,$10.00,https://www.entresto.com/financial-support,,,,,
NOVARTIS,COSENTYX,"$7,821.00",$0.00,https://www.cosentyx.com/all/treatment-cost,,,,,
NOVARTIS,KESIMPTA,,$0.00,https://www.kesimpta.com/savings-and-support/financial-resources,,,,,
LILLY,MUNJARO,"$1,100.00",$25.00,https://mounjaro.lilly.com/savings-resources?gad_source=1&gad_campaignid=20975809620&gbraid=0AAAAAoh_8M9WlzBgk5D73DIHDhmNiM1Nc&gclid=Cj0KCQjwhafEBhCcARIsAEGZEKKTCnhL06LxUTXhuc3jIrPBSqOfQxnVCQvfgCwTkJ_E3aLeUhGnDrIaAhCVEALw_wcB,,,,,
LILLY,ZEPBOUND,"$1,192.00",$25.00,https://zepbound.lilly.com/coverage-savings,,,,,
LILLY,VERZENIO,,$0.00,https://verzenio.lilly.com/savings-support#savings-card,,,,,
NOVO NORDISK,OZEMPIC,$995.00,$25.00,https://www.ozempic.com/savings-and-resources/save-on-ozempic.html,,,,,
NOVO NORDISK,WEGOVY,"$1,390.00",$0.00,https://www.wegovy.com/,,,,,
NOVO NORDISK,RYBELSUS,$10.00,$10.00,https://www.rybelsus.com/savings-and-support.html,,,,,
BRISTOL MYERS SQUIBB,ELIQUIS,$630.00,$10.00,https://www.eliquis.bmscustomerconnect.com/savings,,,,,
BRISTOL MYERS SQUIBB,OPDIVO,Physician Administered,$0.00,https://www.bmsaccesssupport.com/patient/co-pay-financial-support,,,,,
BRISTOL MYERS SQUIBB,REVLIMID Lenalidomide,Limited Distribution Drug,$0.00,https://www.bmsaccesssupport.com/patient/co-pay-financial-support,,,,,
SANOFI,DUPIXENT,"$4,097.00",$0.00,https://www.dupixent.com/support-savings/cost-insurance?&utm_source=google&utm_medium=cpc&utm_campaign=Agnostic+DTC_GGL_BRND_Tier+1+-+Core_AWA_SEA_ALLM_U_EN+KW+-+EN+BR_ALL&utm_term=dupixent&gclsrc=aw.ds&&gclid=CjwKCAjwqKzEBhANEiwAeQaPVauiJqpHDCTKB_25hQ-eDrE6IHacu3KrpzWVwQ5lFm-4IIXdoAAG8xoCsBQQAvD_BwE&gad_source=1&gad_campaignid=22229204073&gbraid=0AAAAAC7CNrGsg6Y5RPopX8TYz8fBX4uWs,,,,,
SANOFI,QUADRACEL,Physician Administered,,,,,,,
SANOFI,LANTUS,$35.00,$35.00,https://www.lantus.com/hcp/copay-and-coverage,,,,,
